0	1	mikroCPIC1618.exe -MSF -DBG -pP18F4520 -L -DL -O11111114 -fo20 -N"C:\Users\zecap\Documents\GitHub\Robot-Vacuum-Cleaner-PIC-Microcontroller\Main System\Software\pt - Cópia\MyProject.mcppi" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Defs\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\uses\P18\" -SP"C:\Users\zecap\Documents\GitHub\Robot-Vacuum-Cleaner-PIC-Microcontroller\Main System\Software\pt - Cópia\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Packages\FAT32 Library\Uses\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Packages\FT800\Uses\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Packages\FT810\Uses\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Packages\FT812\Uses\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Packages\mikroBUS BDF API\Uses\" -IP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\uses\P18\" "MyProject.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_ADC_A_D.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl"	 
hint: 0	1139	Available RAM: 1515 [bytes], Available ROM: 32768 [bytes]	 
diagnostics: 0	122	Compilation Started	__Lib_MemManager.c
warning: 34	1508	Implicit conversion of int to ptr	__Lib_MemManager.c
diagnostics: 231	123	Compiled Successfully	__Lib_MemManager.c
diagnostics: 0	122	Compilation Started	__Lib_GlcdFonts.c
diagnostics: 1207	123	Compiled Successfully	__Lib_GlcdFonts.c
diagnostics: 0	122	Compilation Started	__lib_mmcfat16.h
diagnostics: 71	123	Compiled Successfully	__Lib_MmcFat16Constants.c
diagnostics: 0	122	Compilation Started	__Lib_TFT_Defs.c
diagnostics: 2883	123	Compiled Successfully	__Lib_TFT_Defs.c
diagnostics: 0	122	Compilation Started	__Lib_TFT_16bit_Defs.c
diagnostics: 2717	123	Compiled Successfully	__Lib_TFT_16bit_Defs.c
diagnostics: 0	122	Compilation Started	ft800_types.h
diagnostics: 582	123	Compiled Successfully	__Lib_FT800_Defs.c
diagnostics: 0	122	Compilation Started	ft810_types.h
diagnostics: 631	123	Compiled Successfully	__Lib_FT810_Defs.c
diagnostics: 0	122	Compilation Started	ft812_types.h
diagnostics: 631	123	Compiled Successfully	__Lib_FT812_Defs.c
diagnostics: 0	122	Compilation Started	stdint.h
diagnostics: 187	123	Compiled Successfully	easypic_v7_P18F4520.c
diagnostics: 0	122	Compilation Started	MyProject.c
diagnostics: 257	123	Compiled Successfully	MyProject.c
hint: 186	1164	Variable 'volts_f' has been eliminated by optimizer	MyProject.c
hint: 187	1164	Variable 'volts' has been eliminated by optimizer	MyProject.c
diagnostics: 0	127	All files Compiled in 235 ms	 
hint: 0	1144	Used RAM (bytes): 6 (1%)  Free RAM (bytes): 1509 (99%)	Used RAM (bytes): 6 (1%)  Free RAM (bytes): 1509 (99%)
hint: 0	1144	Used ROM (bytes): 528 (2%)  Free ROM (bytes): 32240 (98%)	Used ROM (bytes): 528 (2%)  Free ROM (bytes): 32240 (98%)
diagnostics: 0	125	Project Linked Successfully	MyProject.mcppi
diagnostics: 0	128	Linked in 172 ms	 
diagnostics: 0	129	Project 'MyProject.mcppi' completed: 3688 ms	 
diagnostics: 0	103	Finished successfully: 16 jun 2021, 17:48:34	MyProject.mcppi
